1816.HK,1133.HK,0914.HK,2600.HK,0358.HK,0390.HK,1186.HK,1800.HK,0688.HK,3333.HK,0960.HK,1813.HK,3900.HK,2007.HK,3383.HK,0315.HK,0762.HK,0728.HK,3618.HK,1288.HK,0998.HK,3328.HK,1988.HK,3988.HK,0939.HK,1398.HK,3968.HK,2318.HK,1336.HK,1339.HK,2601.HK,2328.HK,0966.HK,2628.HK,1299.HK,0257.HK,0371.HK,
13.26058602,22.67002562,17.19259712,359.4908135,124.5982742,11.59489933,10.1501903,8.666360083,5.800795241,21.72655617,5.900502592,3.313108895,21.92074878,9.042742622,13.95015907,14.21661634,50.87357273,12.8796952,5.206144615,5.209475889,5.087755425,5.7440651,6.066526051,5.574193148,5.585386377,5.456901515,7.009884489,10.64368619,20.70733403,8.367026204,18.96419733,9.335493783,18.81006371,40.01324264,26.69984756,17.86691688,17.07173232,
12.64588984,22.97028417,17.62193736,365.3568362,131.643218,11.40273917,10.66004091,8.615714217,5.761863729,21.99884248,6.094824994,3.344648812,21.89519501,8.574768461,13.92224895,14.2433393,48.16608465,12.59565894,5.296703439,5.186850504,5.163625067,5.970258302,6.082645566,5.538554988,5.564712724,5.391617361,7.030007001,11.04113772,21.45452691,8.513323451,19.44396468,9.630633029,19.50113379,42.06486964,27.87685143,18.04284932,17.56836453,
12.64549135,22.68009381,16.89580378,334.2514256,117.2239252,10.88747441,9.770466368,8.24135993,5.709955047,21.69527087,5.832708128,3.269483978,21.56274742,8.597483976,13.63403693,14.21661634,48.59244541,12.64294782,4.939979609,5.018760273,4.858192528,5.81549682,6.034419734,5.293109324,5.279570844,5.149005499,6.626224684,10.27991207,19.00574609,7.927431825,18.044785,8.72768217,17.47111543,36.82115322,27.60843439,18.76612714,17.69252258,
12.49931068,23.28014156,17.52799165,337.4170326,127.0885207,11.00731525,10.25433379,8.560767156,6.021407141,21.36355306,5.6898815,3.320839099,21.14826332,8.477912378,13.63572462,14.7510756,45.5418086,12.94188794,4.829799201,5.024343165,4.89169679,5.738543887,6.012820017,5.325348656,5.25663104,5.225808939,6.607332118,10.21131746,18.31044549,7.732688952,17.36182228,8.569183046,16.52089407,35.04617189,28.48686669,18.60974275,17.59940404,
12.29067495,22.6089428,16.56967252,289.9381927,93.60837997,10.23852501,9.09739527,8.155423896,6.125224505,20.5940442,5.714367629,3.280084528,20.45804073,8.331394094,13.49730439,15.15192005,47.54940817,13.48593481,4.865689243,5.126964222,4.922572196,5.683942877,6.047629928,5.314532869,5.291041386,5.241231745,6.655770312,10.13133072,17.82622169,7.774412573,17.41408497,8.773553716,16.30493467,34.7716501,28.17225925,18.00375323,17.44420648,
12.5556189,23.54597522,16.06553433,290.9459758,93.7306491,9.768561059,8.937226129,7.908532031,6.254996211,20.98789708,6.02873722,3.32846861,20.82524342,8.239770798,13.41734113,15.39242671,48.03102345,13.66916069,4.914306878,5.097294484,5.009115629,5.637725452,6.054951626,5.333005413,5.309432278,5.236828217,6.833674075,10.15404078,17.78295844,7.87842315,17.63204275,9.004793111,16.39131843,35.00143694,30.2979261,18.35561811,17.9718782,
12.76651071,24.70421337,15.64651861,287.4403657,91.01967132,9.863655615,8.999733197,7.976834711,6.319882063,20.9987304,6.135184911,3.450923587,20.94579741,8.096864027,13.5682894,16.40789931,39.61982461,14.07265762,5.042196643,5.10222271,5.091549012,5.666259234,6.159669233,5.366898405,5.412852672,5.310799234,7.016878712,10.42802562,17.79495027,7.939476452,18.32318716,9.186086088,16.97440881,36.29990182,31.07885933,18.14058957,18.56162895,
12.51530929,24.09720586,15.23729174,287.742099,89.79324598,9.370621164,8.461192568,7.51153343,6.151178846,21.388042,6.13190866,3.413272396,20.89548203,8.157190905,13.6616095,16.80874375,41.41076905,13.7682242,4.976344207,5.105676072,5.010412762,5.575610121,5.906962762,5.292465897,5.343208291,5.298041787,6.93453419,10.50623106,18.19600885,7.920404473,17.99795371,9.121330008,17.19036821,37.29367947,30.69589708,18.12104152,16.48198156,
12.62442598,23.88639549,16.35651691,293.0931067,91.1055295,9.096133101,8.03658209,7.49094622,6.501562451,22.19163007,6.498630653,3.514382739,21.3599527,7.907901307,13.72931108,17.04925042,39.09578212,13.54717735,5.220467931,5.32573967,5.073912775,5.784560785,6.037211591,5.535924795,5.539764601,5.563233852,7.198447893,10.69578714,18.1144575,8.053072061,18.42899039,9.253113929,17.64388295,38.3961146,31.78750551,18.45335836,17.00965329,
12.51835097,22.44452162,15.66061336,276.4443007,88.53104708,8.986151896,7.912769579,7.357464514,6.825991715,6.317583264,6.761682469,3.704517831,21.13885759,8.087914246,13.76406259,17.12941931,38.69028634,13.11463443,5.093933012,5.171349522,5.026421023,5.642833376,6.025289062,5.40006266,5.382071083,5.397728434,7.048794808,10.28903165,17.73086178,7.979395022,17.75215906,9.057974188,16.52089407,35.72652662,30.38125079,18.02330128,16.26470497,
